sN,Lat,Long,sand_content,silt_content,clay_content,pH,carbon_organic,nitrogen_total,phosphorous_extractable,calcium_extractable,magnesium_extractable,potassium_extractable,Na,cation_exchange_capacity
18,7.05647,3.036,749.2,57,193.8,6.75,0.17,0.11,16.13,16.4,4.8,0.26,0.17,21.83
37,6.742584,3.382232,361.2,329.8,309,5.81,3.46,0.2,9.51,0.65,0.17,0.02,0.04,1.69
38,7.609527778,4.235944444,718,64,218,5.2,0.5,0.03,0.01,2,1.2,0.1,0.13,3.63
39,7.60425,4.231527778,778,74,148,5.45,0.96,0.06,0,4.8,2.8,0.2,0.09,7.99
40,7.604555556,4.226916667,738,104,158,5.5,0.89,0.06,0,5.6,3.6,0.28,0.13,9.71
41,7.602111111,4.228194444,768,94,138,5.55,0.71,0.04,0.001,4.4,2,0.18,0.04,6.82
42,7.605083333,4.233833333,788,64,148,5.35,0.85,0.05,0.052,2.8,3.2,0.18,0.04,6.42
43,7.606527778,4.235083333,728,94,178,5.5,0.53,0.03,0.01,2.4,2.4,0.15,0.04,5.09
44,6.676833333,3.797933333,793.4,46.8,159.8,5.2,0.24,0.06,7.17,2,1.2,0.2,0.87,5.07
45,6.676016667,3.79695,747.8,53,199.2,4.7,0.06,0.05,9.03,1.8,0.4,0.26,0.87,4.23
46,6.675433333,3.7948,760.8,28.8,210.4,4.6,0.14,0.09,8.11,0.8,1,0.31,1.3,4.61
47,6.674166667,3.796266667,761.4,48.8,189.8,4.6,0.2,0.07,7.97,1.4,1,0.2,0.87,4.37
48,6.67615,3.79905,784,80,136,4.8,0.19,0.06,8.61,0.8,1,0.15,0.87,3.32
49,6.6806,3.798116667,882.8,16.2,101,4.9,0.1,0.05,11.78,0.6,5,0.2,0.87,7.17
50,6.680933333,3.796883333,774.6,84.4,141,4.3,0.13,0.08,14.28,0.8,1.6,0.2,1.3,4.61
51,6.6767,3.797916667,807.8,42.4,149.8,5.1,0.16,0.09,6.53,3,1.8,0.41,1.74,7.05
52,6.658033333,3.804783333,827.8,53,119.2,4.6,0.06,0.06,11.08,0.2,0.6,0.36,1.74,3.5
53,6.660383333,3.80625,782.2,43,174.8,4.7,0.1,0.05,9.08,1.2,1,0.2,0.87,3.97
54,6.6604,3.806266667,786.6,79.8,133.6,4.2,0.24,0.1,13.67,1.4,0.4,0.15,0.43,3.29
55,6.663716667,3.805833333,857.2,7.4,135.4,4.3,0.2,0.04,7.86,1,0.4,0.15,0.43,2.89
56,6.671033333,3.8023,824,46.2,129.8,5,0.08,0.05,10.08,1.2,0.6,0.31,1.74,4.65
57,6.6649,3.795316667,764,121.8,114.2,4.3,0.2,0.08,17.25,1,0.8,0.2,0.43,2.94
58,6.65865,3.80475,844,51.2,104.8,4.3,0.16,0.1,7.72,1.2,0.4,0.15,0.43,3.09
66,6.401933333,4.2171,924,1.2,74.8,5.1,0.13,0.07,8.36,0.4,1.6,0.2,0.43,3.24
67,7.51441,4.65531,690,114,196,4.4,1.48,0.13,2.25,0.63,0.55,0.1,0.25,2.23
68,7.5665,4.66802,710,94,196,5.05,1.7,0.14,1.28,5.08,0.69,0.17,0.22,6.26
69,7.58752,4.68118,750,94,156,5.95,1.59,0.13,6.28,10.41,0.69,0.3,0.25,11.75
70,7.58936,4.65785,750,94,156,6.25,0.79,0.08,1.38,3.08,0.71,0.17,0.24,4.31
71,7.61232,4.63,730,94,176,5.5,0.89,0.09,1.28,5.05,0.75,0.31,0.22,6.42
72,7.63757,4.61894,750,74,176,5.6,1.26,0.11,1.28,3.41,0.7,0.16,0.25,4.61
73,7.63808,4.61872,750,114,136,5.75,1.41,0.12,1.28,3.86,0.43,0.22,0.29,4.9
74,7.66914,4.62166,690,74,236,5.65,0.15,0.04,1.28,4.61,0.71,0.17,0.52,6.1
75,7.67043,7.62215,724,88,188,6.25,1.48,0.13,2.37,6.1,0.69,0.15,0.24,7.28
76,7.67743,4.64591,630,134,236,4.85,1.44,0.12,1.28,6.99,0.75,0.14,0.3,8.28
77,7.51965,4.63076,700,84,216,5.95,1.26,0.11,1.4,6.94,0.73,0.2,0.89,8.86
78,7.51893,4.63002,744,88,168,6.75,2.04,0.16,4.08,14.52,0.74,0.11,0.27,15.75
79,7.59764,4.62782,810,74,116,6.9,1.55,0.13,4.68,20.09,0.66,0.18,0.23,21.25
80,7.57043,4.65993,750,114,136,5.45,1.88,0.15,1.28,3.86,0.68,0.19,0.24,5.17
121,6.676666667,3.804444444,857.5,46.4,96.08,3.84,1.29,0.09,5.39,1.8,0.61,0.17,0.23,8.2
122,6.676666667,3.805833333,776.8,107.1,116.1,3.89,0.51,0.07,3.74,1.1,0.42,0.07,0.18,5.51
123,6.676666667,3.805277778,797.5,76.4,126.1,3.31,0.35,0.05,9.61,1.15,0.41,0.12,0.22,11.51
124,6.676666667,3.805555556,856.1,57.12,86.8,3.88,0.38,0.06,10.95,1.05,0.48,0.14,0.22,12.84
125,6.676666667,3.804722222,856.8,56.4,86.8,4.79,0.89,0.11,13.08,2.35,0.59,0.2,0.23,16.45
149,7.477916667,4.120316667,700,260,40,6.73,2.09,0.18,7.8,2.18,3.63,2.29,3.96,17.44
151,7.478366667,4.12035,760,60,80,5.89,1.41,0.12,4.2,0.54,0.9,0.57,0.98,4.33
157,7.479116667,4.12045,720,140,140,6.02,2.35,0.2,2.08,0.87,1.45,0.92,1.59,6.97
159,7.479266667,4.12045,740,100,160,5.1,1.8,0.15,7.38,0.29,0.48,0.3,0.52,2.28
161,8.168933333,4.120466667,660,100,240,5.05,1.8,0.15,1.18,1.24,2.07,1.31,2.26,9.95
163,7.462766667,4.120383333,600,260,140,5.93,1.06,0.09,0.68,0.64,1.07,0.67,1.16,5.11
165,7.781216667,4.1204,620,60,320,5.11,4.46,0.38,0.55,0.93,1.55,0.98,1.69,7.42
167,7.46105,4.120466667,520,80,400,6.01,7.02,0.61,9.95,0.77,1.28,0.81,1.39,6.12
169,7.780816667,0.120351667,480,80,440,5.49,3.65,0.31,1.65,2.09,3.48,2.2,3.79,16.69
171,7.671866667,4.120333333,640,232,128,6.72,4.83,0.42,73.7,1.25,2.08,1.31,2.26,9.97
173,7.670083333,4.120483333,460,140,400,6.03,4.59,0.4,5.38,2.52,4.19,2.65,4.58,20.14
175,7.377566667,4.120483333,520,160,320,4.8,2.67,0.23,0.23,1.38,2.31,1.46,2.52,11.08
177,7.439816667,4.120483333,680,180,140,5.57,6.41,0.55,0.48,1.31,2.19,1.38,2.39,10.5
179,7.60525,4.1204,640,140,320,5.06,4.19,0.36,0.35,0.6,0.99,0.63,1.08,4.77
181,7.606966667,4.120365,820,100,80,5.13,3.16,0.27,1,0.36,0.59,0.37,0.65,2.84
1,7.66745,3.62597,89.2,5.4,5.4,5.94,0.87,0.108,9.61,2.79,1.08,0.1,0.15,4.22
2,7.66955,3.62585,81.2,11.4,7.4,8.88,0.41,0.071,6.96,6.05,1.4,0.19,0.21,7.88
3,7.66784,3.6281,83.2,7.4,9.4,6.6,0.54,0.038,8.01,5.18,1.28,0.18,0.26,6.97
4,7.66982,3.62723,81.2,9.4,9.4,6.83,0.63,0.042,12.16,5.24,1.38,0.46,0.33,7.48
5,7.671,3.62758,85.2,9.4,5.4,7.08,0.85,0.063,22.76,4.47,1.15,0.13,0.27,6.08
6,7.67286,3.62783,87.2,7.4,5.4,6.55,1.02,0.072,5.86,3.49,1.44,0.14,0.36,5.51
7,7.67197,3.62892,87.2,7.4,5.4,6.59,0.8,0.054,8.9,4.16,1.47,0.09,0.25,6.08
8,7.67269,3.6252,87.2,7.4,5.4,6.42,0.82,0.067,6.19,3.47,1.07,0.14,0.26,5.03
9,7.67645,3.62509,85.2,9.4,5.4,6.65,0.84,0.054,14.97,4.61,1.41,0.14,0.16,6.39
10,7.68107,3.63124,89.2,5.4,5.4,6.71,1.35,0.112,15.25,3.18,0.98,0.1,0.19,4.51
11,7.67876,3.63225,86.6,7.4,6,5.63,0.43,0.022,10.99,2.53,0.78,0.07,0.16,3.65
12,7.669,3.62135,90.6,3.4,6,6.61,0.78,0.092,4.97,2.68,1.05,0.08,0.11,4.01
13,7.66564,3.62803,87.2,7.4,5.4,6,0.89,0.078,16.8,3.41,0.76,0.23,0.14,4.62
14,7.68332,3.63259,93.2,1.4,5.4,5.96,0.34,0.051,1.88,2.22,0.53,0.04,0.16,3.07
15,7.65754,3.62195,87.2,7.4,5.4,6.04,0.45,0.028,1.77,2.42,0.91,0.05,0.21,3.68
16,7.65754,3.62467,89.2,5.4,5.4,5.53,0.39,0.047,6.41,2.3,0.95,0.04,0.15,3.55
17,7.65844,3.62377,91.2,3.4,5.4,4.55,0.71,0.056,3.87,2.1,0.82,0.08,0.24,3.38
18,7.65935,3.62286,87.2,7.4,5.4,5.96,0.34,0.06,8.01,1.38,0.51,0.02,0.16,2.18
19,7.65934,3.62558,89.2,5.4,5.4,5.86,0.45,0.04,6.35,1.92,1.01,0.05,0.14,3.22
20,7.66026,3.61924,89.2,5.4,5.4,6.68,0.88,0.07,11.11,3.94,1.53,0.08,0.16,5.78
